Busoperator (group),"Month, Year of Usage Date",Total Trips
Private Operators,Feb-17,8122566
Newcastle Buses,Feb-17,399987
Sydney Buses,Feb-17,13933842
Private Operators,Jan-17,5848349
Newcastle Buses,Jan-17,303662
Sydney Buses,Jan-17,13383811
Private Operators,Dec-16,6778711
Newcastle Buses,Dec-16,345899
Sydney Buses,Dec-16,13715383
Private Operators,Nov-16,8832773
Newcastle Buses,Nov-16,428614
Sydney Buses,Nov-16,15145696
Private Operators,Oct-16,8010172
Newcastle Buses,Oct-16,398275
Sydney Buses,Oct-16,14673990
Private Operators,Sep-16,8109819
Newcastle Buses,Sep-16,407298
Sydney Buses,Sep-16,14480841
